datetime,Step count 2912,Step count 3012,Step count 3112,Step count 0101,Step count 0201,Step count 0301,Step count 0401,Step count 0501,
00:00:00.000Z,305,0,0,0,0,0,0,0,38.125
00:15:00.000Z,0,0,0,0,0,0,0,0,0
00:30:00.000Z,0,0,0,0,0,0,0,0,0
00:45:00.000Z,0,0,0,0,0,0,0,0,0
01:00:00.000Z,0,0,0,31,0,0,0,0,3.875
01:15:00.000Z,0,0,0,101,0,0,0,0,12.625
01:30:00.000Z,0,0,0,0,0,0,0,0,0
01:45:00.000Z,0,0,0,0,0,0,0,0,0
02:00:00.000Z,0,0,0,0,0,0,0,0,0
02:15:00.000Z,0,0,0,0,0,0,0,0,0
02:30:00.000Z,0,0,0,0,0,0,0,0,0
02:45:00.000Z,0,0,0,0,0,0,0,0,0
03:00:00.000Z,0,0,0,0,0,0,0,0,0
03:15:00.000Z,0,0,0,0,0,0,0,0,0
03:30:00.000Z,0,0,0,0,0,0,0,0,0
03:45:00.000Z,0,0,0,0,0,0,0,0,0
04:00:00.000Z,0,0,0,0,0,0,0,0,0
04:15:00.000Z,0,0,0,0,0,0,0,0,0
04:30:00.000Z,0,0,0,0,0,0,0,0,0
04:45:00.000Z,0,0,0,0,0,0,0,0,0
05:00:00.000Z,0,0,0,0,0,0,0,0,0
05:15:00.000Z,0,0,0,0,0,0,0,0,0
05:30:00.000Z,0,0,0,0,0,0,0,0,0
05:45:00.000Z,0,0,0,0,0,0,0,0,0
06:00:00.000Z,0,0,0,0,0,0,0,0,0
06:15:00.000Z,0,0,0,0,0,0,0,0,0
06:30:00.000Z,0,0,0,0,0,0,0,0,0
06:45:00.000Z,0,0,0,0,0,0,0,0,0
07:00:00.000Z,0,0,0,0,0,0,0,0,0
07:15:00.000Z,0,0,0,0,0,0,0,0,0
07:30:00.000Z,0,0,0,0,0,0,0,0,0
07:45:00.000Z,0,0,0,0,0,0,0,197,24.625
08:00:00.000Z,0,0,0,0,0,3,0,101,13
08:15:00.000Z,0,0,0,0,0,17,0,0,2.125
08:30:00.000Z,0,37,44,0,42,0,0,0,15.375
08:45:00.000Z,0,0,147,12,4,0,0,0,20.375
09:00:00.000Z,0,38,0,0,0,27,0,0,8.125
09:15:00.000Z,0,654,0,0,0,0,137,0,98.875
09:30:00.000Z,0,1471,0,131,121,0,0,149,234
09:45:00.000Z,80,1303,0,1633,0,41,0,147,400.5
10:00:00.000Z,182,363,0,293,0,0,0,84,115.25
10:15:00.000Z,0,93,0,0,0,17,0,97,25.875
10:30:00.000Z,78,271,0,0,0,0,0,413,95.25
10:45:00.000Z,11,523,11,0,25,0,0,1609,272.375
11:00:00.000Z,0,881,0,704,221,0,0,28,229.25
11:15:00.000Z,218,993,0,1628,931,0,0,37,475.875
11:30:00.000Z,19,939,0,972,721,0,0,0,331.375
11:45:00.000Z,82,682,0,37,34,0,156,9,125
12:00:00.000Z,86,918,285,0,17,0,192,613,263.875
12:15:00.000Z,0,485,1053,0,0,0,38,0,197
12:30:00.000Z,0,91,280,0,26,0,32,0,53.625
12:45:00.000Z,0,0,18,0,0,0,0,67,10.625
13:00:00.000Z,0,46,0,0,0,0,0,477,65.375
13:15:00.000Z,0,165,0,38,0,107,0,51,45.125
13:30:00.000Z,0,0,0,0,0,0,89,0,11.125
