datetime,Temperature 2912,Temperature 3012,Temperature 3112,Temperature 0101,Temperature 0201,Temperature 0301,Temperature 0401,Temperature 0501,Average Temperature
12:00:00 AM,5.36,4.02,6.42,6.7,5.7,3.04,1.7,2,4.3675
12:30:00 AM,5.36,3.68,6.76,5.72,6.02,3.36,1.36,1.68,4.2425
1:00:00 AM,4.68,3.3,6.74,5.7,5.68,3.04,1.36,2.02,4.065
1:30:00 AM,4.36,2.7,5.76,5.72,5.36,2.72,0.7,2,3.665
2:00:00 AM,4.36,2.68,6.42,5.04,5.02,2.04,0.7,2.02,3.535
2:30:00 AM,4.36,2.36,7.1,4.38,5.66,2.04,0.36,1.34,3.45
3:00:00 AM,4.02,1.68,6.1,4.38,5.02,2.38,0.36,1.34,3.16
3:30:00 AM,3.36,1.68,5.4,4.36,5,2.06,0.68,1.68,3.0275
4:00:00 AM,3.36,2.02,6.78,4.36,4.34,3.06,0.36,1,3.16
4:30:00 AM,3.36,1.36,5.42,4.36,4.02,1.7,0.68,1,2.7375
5:00:00 AM,3.02,1.36,6.1,3.7,3.7,0.7,0.02,1.02,2.4525
5:30:00 AM,2.68,1.36,5.76,3.7,4.34,2.4,0,1,2.655
6:00:00 AM,3.02,1.68,5.78,3.04,3.7,1.04,0.36,0.66,2.41
6:30:00 AM,3,1.36,5.4,3.04,3.02,0.36,-0.64,0.66,2.025
7:00:00 AM,2.02,0.68,5.08,3.7,3.34,1.02,-0.98,1.32,2.0225
7:30:00 AM,2.02,1.02,5.08,3.04,2.75,1.72,-0.32,0.32,1.95375
8:00:00 AM,2.02,1.02,3.72,2.36,2.72,0.7,-0.32,0.32,1.5675
8:30:00 AM,1.68,1.02,4.08,2.02,2.34,1.38,-0.66,0.66,1.565
9:00:00 AM,1.68,0.7,3.72,2.36,1.68,2.38,1.7,1,1.9025
9:30:00 AM,2.34,0.93,3.72,3.7,2.34,2.68,1.68,3,2.54875
10:00:00 AM,3.34,1.68,4.72,4.7,3.66,3.68,3.34,3.98,3.6375
10:30:00 AM,4.66,4,6.7,6.04,4.66,5.34,4.98,5.64,5.2525
11:00:00 AM,5.64,5.34,8.02,7,5.52,6.34,6.32,7.64,6.4775
11:30:00 AM,7.32,7,9.02,9.02,7.64,8.68,7.64,8.64,8.12
12:00:00 PM,8.32,8.32,10.68,10,8.98,8.68,9,9.98,9.245
12:30:00 PM,9.64,9.66,11.68,11.68,9.32,10.02,9.66,10.32,10.2475
1:00:00 PM,10.66,10.98,13.68,13,10.26,11.36,10.66,11.32,11.49
1:30:00 PM,11,12.66,15.02,13.66,11.66,11.68,11.26,11.66,12.325
2:00:00 PM,11.32,14,15.34,14.66,12.3,12.7,11.66,12.3,13.035
2:30:00 PM,12,14,16,15.34,12.66,12.68,11.66,13.32,13.4575
3:00:00 PM,12.34,15.34,16.34,15.34,13,12.68,11.66,14,13.8375
3:30:00 PM,13,15.02,16.66,15,13.34,13.34,11,14.34,13.9625
4:00:00 PM,13,15.34,17.02,15,13.34,13,11.32,14,14.0025
4:30:00 PM,13.34,15.02,17.02,14.34,13.34,12.34,10.32,13.34,13.6325
5:00:00 PM,12.68,14.68,17,13.66,13.02,11.66,9.32,11.98,13
5:30:00 PM,11.66,13,16.34,13.34,12.02,9.02,8.32,11,11.8375
6:00:00 PM,10.34,11.36,14.68,12.34,11.04,8.02,7.32,9.68,10.5975
6:30:00 PM,8.68,11.36,12.68,11.68,9.36,7.68,6.34,9.34,9.64
7:00:00 PM,8.02,9.7,11.38,11.36,9.04,6.36,6.36,8.34,8.82
7:30:00 PM,7.68,10.38,11.06,10.68,8.72,5.68,6.02,7.02,8.405
8:00:00 PM,7.02,10.4,10.04,10,6.72,5.66,4.66,7.02,7.69
8:30:00 PM,6.7,9.74,9.48,9.72,7.06,4.68,5.34,7.34,7.5075
9:00:00 PM,6.36,9.08,9.04,8.36,7.06,4.34,4.36,6.34,6.8675
9:30:00 PM,5.36,9.08,8.72,8,7.4,3.68,4,5.98,6.5275
10:00:00 PM,5.36,8.42,9.08,7.37,4.36,3.34,3,6.66,5.94875
10:30:00 PM,5.03,7.74,7.72,6.98,4.38,2.68,3,6,5.44125
11:00:00 PM,4.36,7.74,7.4,6.68,3.36,2.02,3.34,5,4.9875
11:30:00 PM,4.02,6.42,7.06,6.71,4.04,1.36,2.34,4.34,4.53625
