datetime,temperature
29-12-18 0:00,5.36
29-12-18 0:30,5.36
29-12-18 1:00,4.68
29-12-18 1:30,4.36
29-12-18 2:00,4.36
29-12-18 2:30,4.36
29-12-18 3:00,4.02
29-12-18 3:30,3.36
29-12-18 4:00,3.36
29-12-18 4:30,3.36
29-12-18 5:00,3.02
29-12-18 5:30,2.68
29-12-18 6:00,3.02
29-12-18 6:30,3
29-12-18 7:00,2.02
29-12-18 7:30,2.02
29-12-18 8:00,2.02
29-12-18 8:30,1.68
29-12-18 9:00,1.68
29-12-18 9:30,2.34
29-12-18 10:00,3.34
29-12-18 10:30,4.66
29-12-18 11:00,5.64
29-12-18 11:30,7.32
29-12-18 12:00,8.32
29-12-18 12:30,9.64
29-12-18 13:00,10.66
29-12-18 13:30,11
29-12-18 14:00,11.32
29-12-18 14:30,12
29-12-18 15:00,12.34
29-12-18 15:30,13
29-12-18 16:00,13
29-12-18 16:30,13.34
29-12-18 17:00,12.68
29-12-18 17:30,11.66
29-12-18 18:00,10.34
29-12-18 18:30,8.68
29-12-18 19:00,8.02
29-12-18 19:30,7.68
29-12-18 20:00,7.02
29-12-18 20:30,6.7
29-12-18 21:00,6.36
29-12-18 21:30,5.36
29-12-18 22:00,5.36
29-12-18 22:30,5.03
29-12-18 23:00,4.36
29-12-18 23:30,4.02
30-12-18 0:00,4.02
30-12-18 0:30,3.68
30-12-18 1:00,3.3
30-12-18 1:30,2.7
30-12-18 2:00,2.68
30-12-18 2:30,2.36
30-12-18 3:00,1.68
30-12-18 3:30,1.68
30-12-18 4:00,2.02
30-12-18 4:30,1.36
30-12-18 5:00,1.36
30-12-18 5:30,1.36
30-12-18 6:00,1.68
30-12-18 6:30,1.36
30-12-18 7:00,0.68
30-12-18 7:30,1.02
30-12-18 8:00,1.02
30-12-18 8:30,1.02
30-12-18 9:00,0.7
30-12-18 9:30,0.93
30-12-18 10:00,1.68
30-12-18 10:30,4
30-12-18 11:00,5.34
30-12-18 11:30,7
30-12-18 12:00,8.32
30-12-18 12:30,9.66
30-12-18 13:00,10.98
30-12-18 13:30,12.66
30-12-18 14:00,14
30-12-18 14:30,14
30-12-18 15:00,15.34
30-12-18 15:30,15.02
30-12-18 16:00,15.34
30-12-18 16:30,15.02
30-12-18 17:00,14.68
30-12-18 17:30,13
30-12-18 18:00,11.36
30-12-18 18:30,11.36
30-12-18 19:00,9.7
30-12-18 19:30,10.38
30-12-18 20:00,10.4
30-12-18 20:30,9.74
30-12-18 21:00,9.08
30-12-18 21:30,9.08
30-12-18 22:00,8.42
30-12-18 22:30,7.74
30-12-18 23:00,7.74
30-12-18 23:30,6.42
31-12-18 0:00,6.42
31-12-18 0:30,6.76
31-12-18 1:00,6.74
31-12-18 1:30,5.76
31-12-18 2:00,6.42
31-12-18 2:30,7.1
31-12-18 3:00,6.1
31-12-18 3:30,5.4
31-12-18 4:00,6.78
31-12-18 4:30,5.42
31-12-18 5:00,6.1
31-12-18 5:30,5.76
31-12-18 6:00,5.78
31-12-18 6:30,5.4
31-12-18 7:00,5.08
31-12-18 7:30,5.08
31-12-18 8:00,3.72
31-12-18 8:30,4.08
31-12-18 9:00,3.72
31-12-18 9:30,3.72
31-12-18 10:00,4.72
31-12-18 10:30,6.7
31-12-18 11:00,8.02
31-12-18 11:30,9.02
31-12-18 12:00,10.68
31-12-18 12:30,11.68
31-12-18 13:00,13.68
31-12-18 13:30,15.02
31-12-18 14:00,15.34
31-12-18 14:30,16
31-12-18 15:00,16.34
31-12-18 15:30,16.66
31-12-18 16:00,17.02
31-12-18 16:30,17.02
31-12-18 17:00,17
31-12-18 17:30,16.34
31-12-18 18:00,14.68
31-12-18 18:30,12.68
31-12-18 19:00,11.38
31-12-18 19:30,11.06
31-12-18 20:00,10.04
31-12-18 20:30,9.48
31-12-18 21:00,9.04
31-12-18 21:30,8.72
31-12-18 22:00,9.08
31-12-18 22:30,7.72
31-12-18 23:00,7.4
31-12-18 23:30,7.06
01-01-19 0:00,6.7
01-01-19 0:30,5.72
01-01-19 1:00,5.7
01-01-19 1:30,5.72
01-01-19 2:00,5.04
01-01-19 2:30,4.38
01-01-19 3:00,4.38
01-01-19 3:30,4.36
01-01-19 4:00,4.36
01-01-19 4:30,4.36
01-01-19 5:00,3.7
01-01-19 5:30,3.7
01-01-19 6:00,3.04
01-01-19 6:30,3.04
01-01-19 7:00,3.7
01-01-19 7:30,3.04
01-01-19 8:00,2.36
01-01-19 8:30,2.02
01-01-19 9:00,2.36
01-01-19 9:30,3.7
01-01-19 10:00,4.7
01-01-19 10:30,6.04
01-01-19 11:00,7
01-01-19 11:30,9.02
01-01-19 12:00,10
01-01-19 12:30,11.68
01-01-19 13:00,13
01-01-19 13:30,13.66
01-01-19 14:00,14.66
01-01-19 14:30,15.34
01-01-19 15:00,15.34
01-01-19 15:30,15
01-01-19 16:00,15
01-01-19 16:30,14.34
01-01-19 17:00,13.66
01-01-19 17:30,13.34
01-01-19 18:00,12.34
01-01-19 18:30,11.68
01-01-19 19:00,11.36
01-01-19 19:30,10.68
01-01-19 20:00,10
01-01-19 20:30,9.72
01-01-19 21:00,8.36
01-01-19 21:30,8
01-01-19 22:00,7.37
01-01-19 22:30,6.98
01-01-19 23:00,6.68
01-01-19 23:30,6.71
01-02-19 0:00,5.7
01-02-19 0:30,6.02
01-02-19 1:00,5.68
01-02-19 1:30,5.36
01-02-19 2:00,5.02
01-02-19 2:30,5.66
01-02-19 3:00,5.02
01-02-19 3:30,5
01-02-19 4:00,4.34
01-02-19 4:30,4.02
01-02-19 5:00,3.7
01-02-19 5:30,4.34
01-02-19 6:00,3.7
01-02-19 6:30,3.02
01-02-19 7:00,3.34
01-02-19 7:30,2.75
01-02-19 8:00,2.72
01-02-19 8:30,2.34
01-02-19 9:00,1.68
01-02-19 9:30,2.34
01-02-19 10:00,3.66
01-02-19 10:30,4.66
01-02-19 11:00,5.52
01-02-19 11:30,7.64
01-02-19 12:00,8.98
01-02-19 12:30,9.32
01-02-19 13:00,10.26
01-02-19 13:30,11.66
01-02-19 14:00,12.3
01-02-19 14:30,12.66
01-02-19 15:00,13
01-02-19 15:30,13.34
01-02-19 16:00,13.34
01-02-19 16:30,13.34
01-02-19 17:00,13.02
01-02-19 17:30,12.02
01-02-19 18:00,11.04
01-02-19 18:30,9.36
01-02-19 19:00,9.04
01-02-19 19:30,8.72
01-02-19 20:00,6.72
01-02-19 20:30,7.06
01-02-19 21:00,7.06
01-02-19 21:30,7.4
01-02-19 22:00,4.36
01-02-19 22:30,4.38
01-02-19 23:00,3.36
01-02-19 23:30,4.04
01-03-19 0:00,3.04
01-03-19 0:30,3.36
01-03-19 1:00,3.04
01-03-19 1:30,2.72
01-03-19 2:00,2.04
01-03-19 2:30,2.04
01-03-19 3:00,2.38
01-03-19 3:30,2.06
01-03-19 4:00,3.06
01-03-19 4:30,1.7
01-03-19 5:00,0.7
01-03-19 5:30,2.4
01-03-19 6:00,1.04
01-03-19 6:30,0.36
01-03-19 7:00,1.02
01-03-19 7:30,1.72
01-03-19 8:00,0.7
01-03-19 8:30,1.38
01-03-19 9:00,2.38
01-03-19 9:30,2.68
01-03-19 10:00,3.68
01-03-19 10:30,5.34
01-03-19 11:00,6.34
01-03-19 11:30,8.68
01-03-19 12:00,8.68
01-03-19 12:30,10.02
01-03-19 13:00,11.36
01-03-19 13:30,11.68
01-03-19 14:00,12.7
01-03-19 14:30,12.68
01-03-19 15:00,12.68
01-03-19 15:30,13.34
01-03-19 16:00,13
01-03-19 16:30,12.34
01-03-19 17:00,11.66
01-03-19 17:30,9.02
01-03-19 18:00,8.02
01-03-19 18:30,7.68
01-03-19 19:00,6.36
01-03-19 19:30,5.68
01-03-19 20:00,5.66
01-03-19 20:30,4.68
01-03-19 21:00,4.34
01-03-19 21:30,3.68
01-03-19 22:00,3.34
01-03-19 22:30,2.68
01-03-19 23:00,2.02
01-03-19 23:30,1.36
01-04-19 0:00,1.7
01-04-19 0:30,1.36
01-04-19 1:00,1.36
01-04-19 1:30,0.7
01-04-19 2:00,0.7
01-04-19 2:30,0.36
01-04-19 3:00,0.36
01-04-19 3:30,0.68
01-04-19 4:00,0.36
01-04-19 4:30,0.68
01-04-19 5:00,0.02
01-04-19 5:30,0
01-04-19 6:00,0.36
01-04-19 6:30,-0.64
01-04-19 7:00,-0.98
01-04-19 7:30,-0.32
01-04-19 8:00,-0.32
01-04-19 8:30,-0.66
01-04-19 9:00,1.7
01-04-19 9:30,1.68
01-04-19 10:00,3.34
01-04-19 10:30,4.98
01-04-19 11:00,6.32
01-04-19 11:30,7.64
01-04-19 12:00,9
01-04-19 12:30,9.66
01-04-19 13:00,10.66
01-04-19 13:30,11.26
01-04-19 14:00,11.66
01-04-19 14:30,11.66
01-04-19 15:00,11.66
01-04-19 15:30,11
01-04-19 16:00,11.32
01-04-19 16:30,10.32
01-04-19 17:00,9.32
01-04-19 17:30,8.32
01-04-19 18:00,7.32
01-04-19 18:30,6.34
01-04-19 19:00,6.36
01-04-19 19:30,6.02
01-04-19 20:00,4.66
01-04-19 20:30,5.34
01-04-19 21:00,4.36
01-04-19 21:30,4
01-04-19 22:00,3
01-04-19 22:30,3
01-04-19 23:00,3.34
01-04-19 23:30,2.34
01-05-19 0:00,2
01-05-19 0:30,1.68
01-05-19 1:00,2.02
01-05-19 1:30,2
01-05-19 2:00,2.02
01-05-19 2:30,1.34
01-05-19 3:00,1.34
01-05-19 3:30,1.68
01-05-19 4:00,1
01-05-19 4:30,1
01-05-19 5:00,1.02
01-05-19 5:30,1
01-05-19 6:00,0.66
01-05-19 6:30,0.66
01-05-19 7:00,1.32
01-05-19 7:30,0.32
01-05-19 8:00,0.32
01-05-19 8:30,0.66
01-05-19 9:00,1
01-05-19 9:30,3
01-05-19 10:00,3.98
01-05-19 10:30,5.64
01-05-19 11:00,7.64
01-05-19 11:30,8.64
01-05-19 12:00,9.98
01-05-19 12:30,10.32
01-05-19 13:00,11.32
01-05-19 13:30,11.66
01-05-19 14:00,12.3
01-05-19 14:30,13.32
01-05-19 15:00,14
01-05-19 15:30,14.34
01-05-19 16:00,14
01-05-19 16:30,13.34
01-05-19 17:00,11.98
01-05-19 17:30,11
01-05-19 18:00,9.68
01-05-19 18:30,9.34
01-05-19 19:00,8.34
01-05-19 19:30,7.02
01-05-19 20:00,7.02
01-05-19 20:30,7.34
01-05-19 21:00,6.34
01-05-19 21:30,5.98
01-05-19 22:00,6.66
01-05-19 22:30,6
01-05-19 23:00,5
01-05-19 23:30,4.34
