datetime,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000Z,00:15:00.000Z,16.7265625,,,,,,2.579999924,2.579999924,2.579999924,,,,,900000,,
00:15:00.000Z,00:30:00.000Z,16.7265625,,,,,,2.579999924,2.579999924,2.579999924,,,,,900000,,
00:30:00.000Z,00:45:00.000Z,16.7265625,,,,,,2.579999924,2.579999924,2.579999924,,,,,900000,,
00:45:00.000Z,01:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
01:00:00.000Z,01:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
01:15:00.000Z,01:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
01:30:00.000Z,01:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
01:45:00.000Z,02:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
02:00:00.000Z,02:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
02:15:00.000Z,02:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
02:30:00.000Z,02:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
02:45:00.000Z,03:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
03:00:00.000Z,03:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
03:15:00.000Z,03:30:00.000Z,16.7265625,,41.6749862,2.285899,41.6749862,2.285899,,,,,,,,900000,,
03:30:00.000Z,03:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
03:45:00.000Z,04:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
04:00:00.000Z,04:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
04:15:00.000Z,04:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
04:30:00.000Z,04:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
04:45:00.000Z,05:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
05:00:00.000Z,05:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
05:15:00.000Z,05:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
05:30:00.000Z,05:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
05:45:00.000Z,06:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
06:00:00.000Z,06:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
06:15:00.000Z,06:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
06:30:00.000Z,06:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
06:45:00.000Z,07:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
07:00:00.000Z,07:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
07:15:00.000Z,07:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
07:30:00.000Z,07:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
07:45:00.000Z,08:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
08:00:00.000Z,08:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
08:15:00.000Z,08:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
08:30:00.000Z,08:45:00.000Z,16.7265625,,41.6749977,2.2858176,41.6749977,2.2858176,,,,,,,,900000,,
08:45:00.000Z,09:00:00.000Z,16.7265625,,41.6749812,2.2858752,41.6749812,2.2858752,,,,,,,,900000,,
09:00:00.000Z,09:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
09:15:00.000Z,09:30:00.000Z,31.98491737,69.5838623,41.6748823,2.2856611,41.674943,2.2856698,0.650595619,1.17216301,0.346087664,137,,,,618731,281269,
09:30:00.000Z,09:45:00.000Z,16.7265625,,,,,,0.889999986,0.889999986,0.889999986,,,,,900000,,
09:45:00.000Z,10:00:00.000Z,16.7265625,,41.6748866,2.2855667,41.675017,2.2856747,,,,,,,,900000,,
10:00:00.000Z,10:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
10:15:00.000Z,10:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
10:30:00.000Z,10:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
